1: Wei Liu, weight = 3522
1778: Gilbert Laporte, weight = 574
1779: Luca Maria Gambardella, weight = 574
1780: Joachim Weickert, weight = 574
1781: Barbara Hammer, weight = 574
1782: Bhargab B. Bhattacharya, weight = 574
1783: Maxime Crochemore, weight = 574
1784: Tetsuya Oda, weight = 574
1785: Christopher J. Taylor, weight = 573
1786: Hongwei Liu, weight = 573
1787: Philip E. Bourne, weight = 573
1788: Shinji Shimojo, weight = 573
1789: Johan H. C. Reiber, weight = 573
1790: Jianwei Niu, weight = 573
1791: David R. Karger, weight = 573
1792: Roberto Cipolla, weight = 573
1793: Marcin Paprzycki, weight = 573
1794: Reinhold Weiss, weight = 573
1795: Erik G. Larsson, weight = 572
1796: Terry M. Peters, weight = 572
1797: Hausi A. Müller, weight = 572
1798: Alexander S. Szalay, weight = 572
1799: Jonathon A. Chambers, weight = 572
1800: Hiroshi Mizoguchi, weight = 572
1801: Burkhard Stiller, weight = 572
1802: Thomas J. Jackson, weight = 572
1803: Lucila Ohno-Machado, weight = 572
1804: Kenji Kaneko, weight = 571
1805: Roberto Tamassia, weight = 571
1806: Tao Zhou, weight = 571
1807: John S. Thompson, weight = 571
1808: Dhiraj K. Pradhan, weight = 571
1809: Kerstin Dautenhahn, weight = 571
1810: Shie Mannor, weight = 571
1811: Tatiana A. Tatusova, weight = 571
1812: Hitoshi Isahara, weight = 570
1813: Liang Zhou, weight = 570
1814: Fei Chen, weight = 570
1815: Nathan Johnson, weight = 570
1816: Tobias Schreck, weight = 570
1817: Ming Chen, weight = 570
1818: Yoshihiko Nakamura, weight = 570
1819: Marco Di Renzo, weight = 570
1820: Ioannis A. Kakadiaris, weight = 570
1821: Luigi Palopoli, weight = 569
1822: Cheng-Xiang Wang, weight = 569
1823: Srikanth V. Krishnamurthy, weight = 569
1824: Shuang Wang, weight = 569
1825: Carlos A. Coello Coello, weight = 569
1826: José J. Pazos Arias, weight = 569
1827: Dan Boneh, weight = 569
1828: Jean-Marc Jézéquel, weight = 569
1829: Zhigeng Pan, weight = 569
1830: Guojun Wang, weight = 569
1831: Sophia Ananiadou, weight = 569
1832: Cheng-Zhong Xu, weight = 568
1833: Feiping Nie, weight = 568
1834: Kristian Kersting, weight = 568
1835: Ling Guan, weight = 568
1836: Jianhua Li, weight = 568
1837: Alan S. Willsky, weight = 568
1838: Paul F. M. J. Verschure, weight = 568
1839: Pasi Liljeberg, weight = 567
1840: Ding-Zhu Du, weight = 567
1841: Zhoujun Li, weight = 567
1842: Yvon Savaria, weight = 567
1843: Susanne Boll, weight = 567
1844: Guido Governatori, weight = 566
1845: Kazunori Komatani, weight = 566
1846: Urbashi Mitra, weight = 566
1847: William H. Sanders, weight = 566
1848: Riichiro Mizoguchi, weight = 566
1849: Qiang Fu, weight = 566
1850: Irwin King, weight = 565
1851: Shidong Zhou, weight = 565
1852: Danilo P. Mandic, weight = 565
1853: Xiaohong Guan, weight = 565
1854: Shiqiang Yang, weight = 565
1855: Kazuo Ohta, weight = 564
1856: Xiaoqing Wen, weight = 564
1857: Geert-Jan Houben, weight = 564
1858: Nong Xiao, weight = 564
1859: Petros Daras, weight = 564
1860: Ahmed Amine Jerraya, weight = 564
1861: Sébastien Marcel, weight = 564
1862: José M. F. Moura, weight = 564
1863: Kevin W. Bowyer, weight = 564
1864: Hong Cheng, weight = 564
1865: Robert Endre Tarjan, weight = 563
1866: Daniel Lokshtanov, weight = 563
1867: Amedeo Napoli, weight = 563
1868: Jan Peters 0001, weight = 563
1869: Jin Xu, weight = 563
1870: Young-Hyun Jun, weight = 563
1871: Xuemin (Sherman) Shen, weight = 563
1872: James J. Cimino, weight = 563
1873: Avi Wigderson, weight = 563
1874: François-Xavier Standaert, weight = 563
1875: Eiji Okamoto, weight = 563
1876: Makoto Yokoo, weight = 562
1877: Feipei Lai, weight = 562
1878: Ronald M. Summers, weight = 562
1879: Yong Rui, weight = 562
1880: Piero Fraternali, weight = 562
1881: Li-Chen Fu, weight = 562
1882: Mohamed Abid, weight = 562
1883: Paulo Novais, weight = 562
1884: Zhe Chen, weight = 561
1885: S. Sitharama Iyengar, weight = 561
1886: Herbert Edelsbrunner, weight = 561
1887: Iadh Ounis, weight = 561
1888: Goichiro Hanaoka, weight = 561
1889: Frank L. Lewis, weight = 561
1890: Hisao Ishibuchi, weight = 561
1891: Enrico Motta, weight = 560
1892: Gustavo Rossi, weight = 559
1893: Wolfgang Effelsberg, weight = 559
1894: Arjen P. de Vries, weight = 559
1895: Valérie Issarny, weight = 559
1896: Jon Atli Benediktsson, weight = 559
1897: Xiaofeng Tao, weight = 559
1898: Satoshi Kagami, weight = 559
1899: Wan-Chi Siu, weight = 559
1900: Zhen Lei, weight = 559
1901: Tatsuo Nakajima, weight = 558
1902: Karl Rohr, weight = 558
1903: Michel Gendreau, weight = 558
1904: Jianying Zhou, weight = 558
1905: Thomas Lippert, weight = 558
1906: Vijay K. Bhargava, weight = 557
1907: Luxi Yang, weight = 557
1908: Lei Wu, weight = 557
1909: Kui Ren, weight = 557
1910: David A. Patterson, weight = 557
1911: Marianne Winslett, weight = 557
1912: Ken-ichi Matsumoto, weight = 557
1913: Zheng Bao, weight = 557
1914: Marta Mattoso, weight = 557
1915: Felix Wolf, weight = 557
1916: Tiziana Catarci, weight = 556
1917: Daphne Koller, weight = 556
1918: Hideo Fujiwara, weight = 556
1919: Tianzhou Chen, weight = 556
1920: Peter Lambert, weight = 556
1921: Oscar H. Ibarra, weight = 556
1922: Tsuyoshi Takagi, weight = 556
1923: Alan L. Yuille, weight = 556
1924: Marek Karpinski, weight = 556
1925: Naehyuck Chang, weight = 556
1926: Xiang Wang, weight = 556
1927: Stephen Fitzgerald, weight = 555
1928: Yu Li, weight = 555
1929: Luigi Dilillo, weight = 555
1930: Qin Li, weight = 555
1931: Søren Holdt Jensen, weight = 555
1932: Etienne E. Kerre, weight = 555
1933: Petru Eles, weight = 554
1934: Huaxiong Wang, weight = 554
1935: Reihaneh Safavi-Naini, weight = 554
1936: Hans-Werner Mewes, weight = 554
1937: Arthur C. Graesser, weight = 554
1938: Norbert Wehn, weight = 554
1939: Alexander Schill, weight = 554
1940: Wei Zhao 0001, weight = 553
1941: Kwong-Sak Leung, weight = 553
1942: Hong Linh Truong, weight = 553
1943: Sang Hyuk Son, weight = 553
1944: I-Ling Yen, weight = 553
1945: Carsten Griwodz, weight = 553
1946: Florentin Wörgötter, weight = 553
1947: Gaudenzio Meneghesso, weight = 553
1948: Lorenzo Bruzzone, weight = 552
1949: Félix García, weight = 552
1950: Lars C. Wolf, weight = 552
1951: Zhi Ding, weight = 552
1952: Azriel Rosenfeld, weight = 552
1953: Nagiza F. Samatova, weight = 552
1954: William J. Dally, weight = 552
1955: Piero Castoldi, weight = 552
1956: Andreas Dengel, weight = 552
1957: Makoto Takamiya, weight = 551
1958: Prasenjit Mitra, weight = 551
1959: Yang Zhao, weight = 551
1960: Zhi-Quan Luo, weight = 551
1961: Nicola Mazzocca, weight = 551
1962: Cong Liu, weight = 551
1963: Prithviraj Banerjee, weight = 551
1964: Gianluca Palermo, weight = 551
1965: Mark de Berg, weight = 551
1966: Ricardo da Silva Torres, weight = 551
1967: Mercè Vall-Llossera, weight = 551
1968: Min Song, weight = 551
1969: Suzanne Bakken, weight = 550
1970: Pingzhi Fan, weight = 550
1971: Yuval Elovici, weight = 550
1972: Limin Xiao, weight = 550
1973: Anton Batliner, weight = 550
1974: Hermann de Meer, weight = 550
1975: Alex Acero, weight = 549
1976: Andrew Lim, weight = 549
1977: Yingying Chen, weight = 549
1978: David A. Padua, weight = 549
1979: Liangpei Zhang, weight = 549
1980: Juliana Freire, weight = 549
1981: Jing Yuan, weight = 549
1982: Hamid Sharif, weight = 549
1983: Barbara Pernici, weight = 549
1984: Olivier Sentieys, weight = 549
1985: Manuel V. Hermenegildo, weight = 549
1986: Luc De Raedt, weight = 549
1987: Mohamed Ould-Khaoua, weight = 549
1988: Gautam Biswas, weight = 549
1989: Houqiang Li, weight = 548
1990: Javier Ortega-Garcia, weight = 548
1991: Deniz Erdogmus, weight = 548
1992: Bram van Ginneken, weight = 548
1993: Tao Wu, weight = 548
1994: Sheng Wang, weight = 548
1995: Derong Liu, weight = 548
1996: ChengXiang Zhai, weight = 548
1997: Mischa Dohler, weight = 548
1998: Silvio Romero de Lemos Meira, weight = 548
1999: Alfonso Valencia, weight = 548
2000: Jonathan Schaeffer, weight = 548
2001: Francis Y. L. Chin, weight = 548
2002: Thomas Lengauer, weight = 548
2003: Sue Whitesides, weight = 547
2004: Purang Abolmaesumi, weight = 547
2005: Uwe D. Hanebeck, weight = 547
2006: Maguelonne Teisseire, weight = 547
2007: Vimla L. Patel, weight = 547
2008: Dmitry B. Goldgof, weight = 547
2009: Ahmed K. Elmagarmid, weight = 547
2010: Béatrice Pesquet-Popescu, weight = 547
2011: Bashir M. Al-Hashimi, weight = 547
2012: Perry L. Miller, weight = 547
2013: Hong Qin, weight = 546
2014: Qing Zhang, weight = 546
2015: Anna Lubiw, weight = 546
2016: Ching-Te Chuang, weight = 546
2017: Zhengyou Zhang, weight = 546
2018: Li Shang, weight = 546
2019: Andrew A. Chien, weight = 546
2020: Antonio Krüger, weight = 546
2021: Hao Xu, weight = 546
2022: Don Towsley, weight = 546
2023: Bo Wu, weight = 546
2024: Shuvra S. Bhattacharyya, weight = 545
2025: Michal Pechoucek, weight = 545
2026: Tova Milo, weight = 545
2027: William M. Wells III, weight = 545
2028: Frank Piessens, weight = 545
2029: Jonathan Katz, weight = 545
2030: W. Bruce Croft, weight = 545
2031: Diane J. Cook, weight = 545
2032: Grigoris Antoniou, weight = 545
2033: Takao Onoye, weight = 545
2034: Junzhou Luo, weight = 545
2035: Lui Sha, weight = 544
2036: Huaping Liu, weight = 544
2037: Marta Z. Kwiatkowska, weight = 544
2038: Xin Huang, weight = 544
2039: Hiroshi Nakamura, weight = 544
2040: Stamatis Vassiliadis, weight = 544
2041: Vivek De, weight = 544
2042: Rajeev Motwani, weight = 544
2043: Xiang Cheng, weight = 543
2044: Achim Streit, weight = 543
2045: Moeness G. Amin, weight = 543
2046: Eduard A. Jorswieck, weight = 543
2047: Mark J. F. Gales, weight = 543
2048: Jin Huang, weight = 543
2049: Halim Yanikomeroglu, weight = 543
2050: Daniel P. Siewiorek, weight = 543
2051: Sheldon X.-D. Tan, weight = 543
2052: Maurice Bruynooghe, weight = 542
2053: Yoshinori Kuno, weight = 542
2054: Kewal K. Saluja, weight = 542
2055: Sören Auer, weight = 542
2056: Sang-Wook Kim, weight = 542
2057: Junichi Yamagishi, weight = 542
2058: Arek Kasprzyk, weight = 542
2059: Shi-Jinn Horng, weight = 542
2060: Luciano Serafini, weight = 542
2061: Frank Stephan, weight = 542
2062: Michael O'Neill, weight = 542
2063: Jun Wei, weight = 542
2064: Jianyu Yang, weight = 541
2065: Haibing Guan, weight = 541
2066: Xin He, weight = 541
2067: Antonella Molinaro, weight = 540
2068: Alan Gara, weight = 540
2069: Shashi Shekhar, weight = 540
2070: Jason Leigh, weight = 540
2071: Elizabeth Shriberg, weight = 540
2072: Qinye Yin, weight = 540
2073: Arie E. Kaufman, weight = 540
2074: Salem Benferhat, weight = 540
2075: Subhash Suri, weight = 540
2076: Damian Keefe, weight = 539
2077: A Min Tjoa, weight = 539
2078: He Huang, weight = 539
2079: Venu Govindaraju, weight = 539
2080: Bo Jiang, weight = 539
2081: Uirá Kulesza, weight = 539
2082: Paolo Tonella, weight = 539
2083: Ralf Schlüter, weight = 539
2084: James Smith, weight = 538
2085: Jitendra Malik, weight = 538
2086: Victor R. Basili, weight = 538
2087: Keun Ho Ryu, weight = 538
2088: J. Wenny Rahayu, weight = 538
2089: János Pach, weight = 538
2090: Gregor Engels, weight = 538
2091: Huaguang Zhang, weight = 538
2092: Rodrigo C. de Lamare, weight = 538
2093: Shinichi Honiden, weight = 537
2094: Yutaka Ishikawa, weight = 537
2095: Francesca Rossi, weight = 537
2096: Joan Serrat, weight = 537
2097: Warren E. Dixon, weight = 537
2098: Jianping Fan, weight = 537
2099: Dan Keun Sung, weight = 537
2100: Kim D. Pruitt, weight = 537
2101: Lorrie Faith Cranor, weight = 537
2102: Zeng-Guang Hou, weight = 537
2103: Yuan Zhou, weight = 537
2104: Vivek Sarkar, weight = 537
2105: Paul E. Debevec, weight = 537
2106: Yi-Bing Lin, weight = 537
2107: Donghyun Kim, weight = 536
2108: Christine A. Orengo, weight = 536
2109: Peng Liu 0005, weight = 536
2110: Jean Vanderdonckt, weight = 536
2111: Jürgen Münch, weight = 536
2112: Volker Wulf, weight = 535
2113: Noël Crespi, weight = 535
2114: Douglas W. Oard, weight = 535
2115: Li-Rong Dai, weight = 535
2116: Jian Yu, weight = 535
2117: Milan Sonka, weight = 535
2118: Erchin Serpedin, weight = 535
2119: Kiyoharu Aizawa, weight = 535
2120: Pen-Chung Yew, weight = 535
2121: James F. Kurose, weight = 535
2122: Jean-Luc Gauvain, weight = 535
2123: Nikos Fakotakis, weight = 535
2124: Masayuki Takeda, weight = 535
2125: Kai-Uwe Sattler, weight = 535
2126: Lukás Burget, weight = 535
2127: Nigel Shadbolt, weight = 535
2128: Yann LeCun, weight = 534
2129: Ge Wang, weight = 534
2130: Thanasis Korakis, weight = 534
2131: Qiang Ji, weight = 534
2132: Yue Li, weight = 534
2133: Yong Hu, weight = 534
2134: Ming Li 0001, weight = 534
2135: Xiaofeng Chen 0001, weight = 534
2136: Jiri Matas, weight = 534
2137: Xingquan Zhu, weight = 534
2138: Xu Chen, weight = 533
2139: Armin B. Cremers, weight = 533
2140: Samson W. Tu, weight = 533
2141: James A. Hendler, weight = 533
2142: Bryan W. Scotney, weight = 533
2143: Antonio Corradi, weight = 533
2144: Paola Inverardi, weight = 533
2145: Gang Zhou, weight = 533
2146: Jérôme Lang, weight = 532
2147: Josef Pieprzyk, weight = 532
2148: B. S. Manjunath, weight = 532
2149: Jian Tang, weight = 532
2150: Tie-Yan Liu, weight = 531
2151: Pasquale Lops, weight = 531
2152: C. L. Philip Chen, weight = 531
2153: Vicente Julián, weight = 531
2154: Klaus Wehrle, weight = 531
2155: Makoto Hashizume, weight = 531
2156: Ke-Horng Chen, weight = 531
2157: Junehwa Song, weight = 531
2158: Ming Zhao, weight = 531
2159: Sven Apel, weight = 531
2160: Xin Tong, weight = 530
2161: Xiaodong Liu, weight = 530
2162: Danny Z. Chen, weight = 530
2163: Brian B. Avants, weight = 530
2164: Pat Morin, weight = 529
2165: Karl J. Friston, weight = 529
2166: Jintao Li, weight = 529
2167: Jianwei Huang, weight = 529
2168: Chaitali Chakrabarti, weight = 529
2169: Geoffrey M. Voelker, weight = 529
2170: Zhiyong Liu, weight = 529
2171: Bing-Yu Chen, weight = 529
2172: Lei Zhou, weight = 529
2173: Rajiv Ranjan, weight = 529
2174: Sancho Salcedo-Sanz, weight = 529
2175: Hai Wang, weight = 529
2176: Kenichi Okada, weight = 529
2177: Sudip Misra, weight = 529
2178: Mauro Barni, weight = 529
2179: Carlos Miguel Tavares Calafate, weight = 529
2180: Giulio Sandini, weight = 528
2181: Shuguang Cui, weight = 528
2182: Vincenzo Loia, weight = 528
2183: Michael Schuster, weight = 528
2184: Babak Hassibi, weight = 528
2185: Mark H. Overmars, weight = 528
2186: Zhuoqing Morley Mao, weight = 528
2187: Jie Gao, weight = 528
2188: Xin Zhang 0001, weight = 528
2189: Barbara Weber, weight = 528
2190: Toru Ishida, weight = 528
2191: Jacek Blazewicz, weight = 528
2192: Victor R. Lesser, weight = 527
2193: Robert J. Kauffman, weight = 527
2194: Andrzej Pelc, weight = 527
2195: Zhiwei Xu, weight = 527
2196: J. Ramanujam, weight = 527
2197: Qin Zhang, weight = 527
2198: Zongben Xu, weight = 527
2199: Weihua Zhuang, weight = 527
2200: Guoliang Xing, weight = 527
2201: Mohamed Cheriet, weight = 527
2202: Giulio Jacucci, weight = 526
2203: Russell Greiner, weight = 526
2204: Alfredo De Santis, weight = 526
2205: Francis C. M. Lau, weight = 526
2206: Surajit Chaudhuri, weight = 526
2207: Qian Liu, weight = 526
2208: Joseph Naor, weight = 526
2209: Thomas Engel, weight = 525
2210: Antonio Fernández-Caballero, weight = 525
2211: Igor L. Markov, weight = 525
2212: Bingli Jiao, weight = 525
2213: Cecilia Laschi, weight = 525
2214: Yong Yang, weight = 525
2215: Giovanni Vigna, weight = 525
2216: Kok Lay Teo, weight = 525
2217: Luc Moreau, weight = 525
2218: Jun Zheng, weight = 525
2219: Baochun Li, weight = 525
2220: Michael K. Ng, weight = 525
2221: Vijay Varadharajan, weight = 525
2222: Peter Brusilovsky, weight = 524
2223: Xiaofei Liao, weight = 524
2224: Eamonn J. Keogh, weight = 524
2225: Qun Liu, weight = 524
2226: Jun Huang, weight = 524
2227: Andreas Hotho, weight = 524
2228: Shingo Mabu, weight = 524
2229: Jing Wang 0001, weight = 524
2230: Stephen John Turner, weight = 524
2231: Gagan Agrawal, weight = 523
2232: Lise Getoor, weight = 523
2233: Günter Rote, weight = 523
2234: Sumei Sun, weight = 523
2235: Jonathan Gratch, weight = 523
2236: Jun Sun 0001, weight = 523
2237: Nick McKeown, weight = 523
2238: John A. Gunnels, weight = 523
2239: Nalini Venkatasubramanian, weight = 523
2240: Stefan Savage, weight = 523
2241: Xin Zhou, weight = 523
2242: Pradip Bose, weight = 523
2243: Carolyn Penstein Rosé, weight = 522
2244: Teresa K. Attwood, weight = 522
2245: John Yen, weight = 522
2246: Chun Jason Xue, weight = 522
2247: Carolyn L. Talcott, weight = 522
2248: Dong Hoon Lee, weight = 522
2249: Cristina Silvano, weight = 522
2250: Xifeng Yan, weight = 522
2251: Kathryn Beal, weight = 521
2252: Ichiro Sakuma, weight = 521
2253: Thomas Villmann, weight = 521
2254: Shin'ichi Satoh, weight = 521
2255: Jing Jiang, weight = 521
2256: Fausto Giunchiglia, weight = 521
2257: Jianhua Lu, weight = 521
2258: Glenn Proctor, weight = 521
2259: Juan Antonio Gómez Pulido, weight = 521
2260: Ayman El-Baz, weight = 520
2261: Pål Halvorsen, weight = 520
2262: Lalit M. Patnaik, weight = 520
2263: Adrian Munteanu, weight = 520
2264: Soon Xin Ng, weight = 520
2265: Krishna R. Pattipati, weight = 520
2266: Amaury Lendasse, weight = 520
2267: Thiemo Voigt, weight = 520
2268: Sachin S. Sapatnekar, weight = 520
2269: Qiang Xu, weight = 519
2270: Bertrand Thirion, weight = 519
2271: Michael K. Reiter, weight = 519
2272: W. John Wilbur, weight = 519
2273: Aravind Srinivasan, weight = 519
2274: Chris H. Q. Ding, weight = 519
2275: Sharad Malik, weight = 519
2276: Narendra Ahuja, weight = 519
2277: Shankar Sastry, weight = 519
2278: Seiji Kajihara, weight = 519
2279: Ke Zhang, weight = 519
2280: Jun Cheng, weight = 519
2281: Stefano Ferilli, weight = 518
2282: Yi Shen, weight = 518
2283: Nancy M. Amato, weight = 518
2284: Thomas G. Dietterich, weight = 518
2285: Guoliang Li, weight = 518
2286: Patrick Ruch, weight = 518
2287: Hans-Arno Jacobsen, weight = 518
2288: Vicente Hernández, weight = 518
2289: Marten van Sinderen, weight = 518
2290: Akira Matsuzawa, weight = 518
2291: Gregor von Laszewski, weight = 518
2292: Yiyan Wu, weight = 517
2293: Noriko Kando, weight = 517
2294: Karin Coninx, weight = 517
2295: James M. Keller, weight = 517
2296: Matthias Renz, weight = 517
2297: Pascal Poncelet, weight = 517
2298: Daniel Mossé, weight = 517
2299: Antonio Ortega, weight = 517
2300: Angelos D. Keromytis, weight = 517
2301: Xinping Guan, weight = 517
2302: Hong-Yuan Mark Liao, weight = 517
2303: Colin Boyd, weight = 517
2304: Yan Sun, weight = 517
2305: Kalle Lyytinen, weight = 517
2306: Alan Chalmers, weight = 517
2307: Junliang Chen, weight = 516
2308: Ke Li, weight = 516
2309: Marimuthu Palaniswami, weight = 516
2310: Yanmin Zhu, weight = 516
2311: Changjun Jiang, weight = 516
2312: Mario Vento, weight = 516
2313: Gautam Das, weight = 516
2314: Soo-Chang Pei, weight = 516
2315: Massimo Mecella, weight = 516
2316: Srinivasan Seshan, weight = 516
2317: K. Selçuk Candan, weight = 516
2318: Pascal Felber, weight = 516
2319: Jose C. Principe, weight = 516
2320: Li Zhou, weight = 515
2321: Giancarlo Succi, weight = 515
2322: Wu-chun Feng, weight = 515
2323: Andreas Rauber, weight = 515
2324: Barbara M. Chapman, weight = 515
2325: Rainer Stiefelhagen, weight = 515
2326: Prabal Dutta, weight = 515
2327: Narayan C. Debnath, weight = 515
2328: Roope Raisamo, weight = 515
2329: Markus Rupp, weight = 515
2330: Christopher Kruegel, weight = 515
2331: Doug Burger, weight = 515
2332: Stefanos Gritzalis, weight = 515
2333: Qingshan Liu, weight = 515
2334: Nora Cuppens-Boulahia, weight = 515
2335: Ralph R. Martin, weight = 515
2336: Simon White, weight = 514
2337: Yang Gao, weight = 514
2338: Marc J. van Kreveld, weight = 514
2339: Volker Markl, weight = 514
2340: Dong-Soo Kwon, weight = 514
2341: Shan Wang, weight = 514
2342: Wenjie Li, weight = 514
2343: Feifei Gao, weight = 514
2344: Stanley B. Zdonik, weight = 514
2345: Ran Canetti, weight = 514
2346: Shu Lin, weight = 514
2347: Allan Hanbury, weight = 514
2348: Hao Huang, weight = 514
2349: Ying Ding, weight = 514
2350: Malcolm P. Atkinson, weight = 514
2351: Vern Paxson, weight = 513
2352: Tatsuya Kawahara, weight = 513
2353: Lakhmi C. Jain, weight = 513
2354: Norbert Krüger, weight = 513
2355: Masakatsu G. Fujie, weight = 513
2356: Lin Li, weight = 513
2357: Marc Modat, weight = 513
2358: Reinhold Haux, weight = 513
2359: Gabrielle Allen, weight = 513
2360: Pascal Van Hentenryck, weight = 513
2361: Alex Rogers, weight = 513
2362: Wim Dehaene, weight = 513
2363: Tülay Adali, weight = 512
2364: José G. Castaños, weight = 512
2365: Long Chen, weight = 512
2366: Christian Theobalt, weight = 512
2367: Xianbin Wang, weight = 512
2368: Dieter W. Fellner, weight = 512
2369: Lei Zhang 0001, weight = 512
2370: Evjola Spaho, weight = 512
2371: Howie Choset, weight = 512
2372: Herwig Bruneel, weight = 512
2373: Iakovos S. Venieris, weight = 511
2374: Sergio F. Ochoa, weight = 511
2375: Salvatore Gaglio, weight = 511
2376: Alberto H. F. Laender, weight = 511
2377: Chao Liu, weight = 511
2378: Tommaso Di Noia, weight = 511
2379: Ann Nowé, weight = 511
2380: Steven C. H. Hoi, weight = 511
2381: In-So Kweon, weight = 511
2382: Sriram Vishwanath, weight = 511
2383: Godfried T. Toussaint, weight = 511
2384: Hiroshi Murase, weight = 511
2385: Sethuraman Panchanathan, weight = 511
2386: Hideyuki Tokuda, weight = 511
2387: Rui Liu, weight = 510
2388: Yiyu Yao, weight = 510
2389: Danica Kragic, weight = 510
2390: Ting Chen, weight = 510
2391: Mark Horowitz, weight = 510
2392: Manuel Martín-Neira, weight = 510
2393: Chris Blondia, weight = 510
2394: Alessandro Saffiotti, weight = 510
2395: Gaurang Mehta, weight = 510
2396: Domenico Talia, weight = 510
2397: Alvis Brazma, weight = 509
2398: Mark Diekhans, weight = 509
2399: Yvonne Rogers, weight = 509
2400: Lluis Godo, weight = 509
2401: Rong Chen, weight = 509
2402: Abbas Jamalipour, weight = 509
2403: Meng Li, weight = 509
2404: Wilhelm Hasselbring, weight = 509
2405: Holger Giese, weight = 509
2406: Mario J. Pérez-Jiménez, weight = 508
2407: Walter Binder, weight = 508
2408: Wei Zeng, weight = 508
2409: Ilsun You, weight = 508
2410: Thomas F. La Porta, weight = 508
2411: Michael A. Bender, weight = 508
2412: Geraldine Fitzpatrick, weight = 508
2413: Jehoshua Bruck, weight = 508
2414: David Naccache, weight = 508
2415: Tommaso Mansi, weight = 508
2416: Song Han, weight = 507
2417: Francisco Casacuberta, weight = 507
2418: Holger Hermanns, weight = 507
2419: James Lam, weight = 507
2420: Geoff Coulson, weight = 507
2421: Ali H. Sayed, weight = 507
2422: Charu C. Aggarwal, weight = 507
2423: Eiichiro Sumita, weight = 507
2424: Stefan Klein, weight = 507
2425: Hao Yang, weight = 507
2426: Lin Cai, weight = 507
2427: Wei Peng, weight = 507
2428: Shuigeng Zhou, weight = 507
2429: Jaelson Castro, weight = 507
2430: Stefan Schaal, weight = 506
2431: Walid G. Aref, weight = 506
2432: Keqiu Li, weight = 506
2433: Shervin Shirmohammadi, weight = 506
2434: Paolo Ienne, weight = 506
2435: Yiqun Liu, weight = 506
2436: Vasant Honavar, weight = 506
2437: Zhangdui Zhong, weight = 506
2438: Wenyu Liu, weight = 506
2439: Judith A. Blake, weight = 506
2440: Tony Q. S. Quek, weight = 506
2441: Ling Shao, weight = 506
2442: Alan W. Black, weight = 506
2443: Guido Boella, weight = 506
2444: J. Geoffrey Chase, weight = 506
2445: Lang Tong, weight = 506
2446: Ernesto Jiménez-Ruiz, weight = 506
2447: Dawei Song, weight = 505
2448: Luc Martens, weight = 505
2449: Michael I. Miller, weight = 505
2450: Wei Wang 0009, weight = 505
2451: David Hutchison, weight = 505
2452: Jeff Gray, weight = 505
2453: Sanjeev Khanna, weight = 505
2454: Hongji Yang, weight = 505
2455: Cordelia Schmid, weight = 505
2456: Qian Chen, weight = 505
2457: Shi-Min Hu, weight = 505
2458: Bradley J. Nelson, weight = 505
2459: Bir Bhanu, weight = 505
2460: James Demmel, weight = 505
2461: Xiaoming Chen, weight = 505
2462: Eiichi Yoshida, weight = 504
2463: Andrew Lumsdaine, weight = 504
2464: Robert D. Finn, weight = 504
2465: Trung Q. Duong, weight = 504
2466: Yew-Soon Ong, weight = 504
2467: Boon Thau Loo, weight = 504
2468: Stefan Biffl, weight = 504
2469: Carlo Ghezzi, weight = 504
2470: Kin K. Leung, weight = 503
2471: Jun Gao, weight = 503
2472: Xiao Li, weight = 503
2473: Udo Hahn, weight = 503
2474: T. Martin McGinnity, weight = 503
2475: Marc Snir, weight = 503
2476: Jon M. Kleinberg, weight = 503
2477: Madhu Sudan, weight = 503
2478: Guangquan Zhang, weight = 503
2479: Dimitrios S. Nikolopoulos, weight = 503
2480: Ahmed Bouridane, weight = 503
2481: I. V. Ramakrishnan, weight = 503
2482: Ping Zhang, weight = 503
2483: Sung Kyu Lim, weight = 502
2484: Dirk Timmermann, weight = 502
2485: Hsin-Min Wang, weight = 502
2486: Arshad Ali, weight = 502
2487: Jacob Benesty, weight = 502
2488: Eby G. Friedman, weight = 502
2489: H. Raghav Rao, weight = 502
2490: Hong Yu, weight = 502
2491: Rajeev Rastogi, weight = 501
2492: Martin Haardt, weight = 501
2493: Vicente J. Botti, weight = 501
2494: Jeff Kramer, weight = 501
2495: Joseph O'Rourke, weight = 501
2496: Chris Develder, weight = 501
2497: Michael Wilde, weight = 501
2498: George Samaras, weight = 501
2499: Arvind Krishnamurthy, weight = 501
2500: Nicola J. Mulder, weight = 501
2501: Gregory R. Ganger, weight = 501
2502: Kaspar Althoefer, weight = 501
2503: Bin He, weight = 501
2504: Katsuro Inoue, weight = 500
2505: Philip C. Woodland, weight = 500
2506: Carlos Delgado Kloos, weight = 500
2507: Samuel Kaski, weight = 500
2508: Steve J. Young, weight = 500
2509: Wei Shi, weight = 500
2510: Kurt Geihs, weight = 500
2511: Christoph Busch, weight = 500
2512: Joos Vandewalle, weight = 500
2513: Valentin Cristea, weight = 500
2514: Vahid Tarokh, weight = 500
2515: Kun Zhou, weight = 500
2516: Thad Starner, weight = 500
2517: Peng-Jun Wan, weight = 499
2518: Kazuo Tanie, weight = 499
2519: Guy Cochrane, weight = 499
2520: Yan Lu, weight = 499
2521: Li Sun, weight = 499
2522: Jean-Jacques Quisquater, weight = 499
2523: Leszek Gasieniec, weight = 499
2524: Jinde Cao, weight = 499
2525: Jane You, weight = 499
